Wavenumbers [1/cm];Absorbance;
3386,000;0,1457841;
3384,000;0,1456764;
3382,000;0,1454856;
3380,000;0,1453111;
3378,000;0,1451457;
3376,000;0,1450405;
3374,000;0,1449548;
3372,000;0,1446662;
3370,000;0,1441836;
3368,000;0,1439457;
3366,000;0,1439688;
3364,000;0,1439868;
3362,000;0,1437753;
3360,000;0,1435062;
3358,000;0,1433752;
3356,000;0,1432177;
3354,000;0,1429957;
3352,000;0,1424956;
3350,000;0,1421237;
3348,000;0,1421896;
3346,000;0,1419618;
3344,000;0,14169;
3342,000;0,1414745;
3340,000;0,1411566;
3338,000;0,1408699;
3336,000;0,1409177;
3334,000;0,1408352;
3332,000;0,1406065;
3330,000;0,1403923;
3328,000;0,1401062;
3326,000;0,1397809;
3324,000;0,139647;
3322,000;0,1395414;
3320,000;0,1393666;
3318,000;0,1391932;
3316,000;0,1389719;
3314,000;0,1387831;
3312,000;0,138521;
3310,000;0,138111;
3308,000;0,1376481;
3306,000;0,1371883;
3304,000;0,1372653;
3302,000;0,1374507;
3300,000;0,1372784;
3298,000;0,13703;
3296,000;0,1366348;
3294,000;0,1363885;
3292,000;0,1361547;
3290,000;0,1361781;
3288,000;0,1361365;
3286,000;0,1360008;
3284,000;0,1358486;
3282,000;0,1355697;
3280,000;0,1353109;
3278,000;0,1350837;
3276,000;0,13478;
3274,000;0,1344635;
3272,000;0,1339673;
3270,000;0,1337322;
3268,000;0,1338037;
3266,000;0,1337194;
3264,000;0,1335067;
3262,000;0,1332331;
3260,000;0,1329886;
3258,000;0,1326667;
3256,000;0,1322933;
3254,000;0,1321408;
3252,000;0,1319671;
3250,000;0,1316468;
3248,000;0,1312151;
3246,000;0,1309832;
3244,000;0,1309588;
3242,000;0,1307328;
3240,000;0,1305;
3238,000;0,1302043;
3236,000;0,1298573;
3234,000;0,1292355;
3232,000;0,1291158;
3230,000;0,1291794;
3228,000;0,1290022;
3226,000;0,1287143;
3224,000;0,1284152;
3222,000;0,1281476;
3220,000;0,1279303;
3218,000;0,1277058;
3216,000;0,1274729;
3214,000;0,1272433;
3212,000;0,1270005;
3210,000;0,1268301;
3208,000;0,1265423;
3206,000;0,1262814;
3204,000;0,1260499;
3202,000;0,1258056;
3200,000;0,1256157;
3198,000;0,1254336;
3196,000;0,125169;
3194,000;0,1249499;
3192,000;0,124676;
3190,000;0,1244587;
3188,000;0,1241653;
3186,000;0,1239653;
3184,000;0,1237214;
3182,000;0,1234801;
3180,000;0,1232097;
3178,000;0,1230443;
3176,000;0,1227564;
3174,000;0,1225102;
3172,000;0,122306;
3170,000;0,1221189;
3168,000;0,1218238;
3166,000;0,1215365;
3164,000;0,121323;
3162,000;0,1210934;
3160,000;0,1208879;
3158,000;0,1206015;
3156,000;0,1203585;
3154,000;0,1197933;
3152,000;0,1194369;
3150,000;0,1195284;
3148,000;0,1194451;
3146,000;0,1192653;
3144,000;0,1190301;
3142,000;0,1187445;
3140,000;0,1182526;
3138,000;0,1180607;
3136,000;0,1180714;
3134,000;0,1179212;
3132,000;0,1177566;
3130,000;0,1174169;
3128,000;0,1173068;
3126,000;0,117189;
3124,000;0,1170052;
3122,000;0,1165626;
3120,000;0,1160245;
3118,000;0,1158597;
3116,000;0,115762;
3114,000;0,1159211;
3112,000;0,1160779;
3110,000;0,1158413;
3108,000;0,1157277;
3106,000;0,115862;
3104,000;0,1159636;
3102,000;0,1159413;
3100,000;0,115958;
3098,000;0,1162506;
3096,000;0,116589;
3094,000;0,1168784;
3092,000;0,1169283;
3090,000;0,1169734;
3088,000;0,117205;
3086,000;0,1171591;
3084,000;0,1169902;
3082,000;0,1169471;
3080,000;0,1166637;
3078,000;0,1165459;
3076,000;0,11668;
3074,000;0,1167977;
3072,000;0,1166562;
3070,000;0,1164412;
3068,000;0,1161169;
3066,000;0,1160713;
3064,000;0,1161416;
3062,000;0,1161442;
3060,000;0,1161526;
3058,000;0,115995;
3056,000;0,1158662;
3054,000;0,115823;
3052,000;0,115679;
3050,000;0,1157062;
3048,000;0,1158999;
3046,000;0,1158584;
3044,000;0,1157982;
3042,000;0,1158288;
3040,000;0,116179;
3038,000;0,11656;
3036,000;0,1165673;
3034,000;0,1164979;
3032,000;0,1167153;
3030,000;0,1167984;
3028,000;0,1168724;
3026,000;0,1167068;
3024,000;0,116465;
3022,000;0,1164132;
3020,000;0,1162157;
3018,000;0,1159583;
3016,000;0,115646;
3014,000;0,115353;
3012,000;0,1152666;
3010,000;0,1153605;
3008,000;0,1155275;
3006,000;0,1155853;
3004,000;0,1155527;
3002,000;0,1155322;
3000,000;0,115521;
2998,000;0,1154541;
2996,000;0,1156166;
